year,state,district,rainfall_mm,temperature_C,humidity_pct,soil_N_kg_ha,soil_P_kg_ha,soil_K_kg_ha,soil_pH,crop,yield_kg_ha
2021,Haryana,Haryana_D21,1243.6,25.3,65.2,68.9,33.1,37.5,5.85,Oilseeds,3311.3
2020,Punjab,Punjab_D142,919.9,30.87,94.9,120.6,30.4,24.7,5.85,Wheat,4361.3
2021,Madhya Pradesh,Madhya_D76,789.0,29.12,70.5,36.9,52.0,57.6,6.3,Rice,3467.6
2024,Assam,Assam_D93,914.1,,57.5,139.4,47.6,37.9,5.06,Groundnut,3226.7
2021,Gujarat,Gujarat_D148,609.1,27.26,41.4,113.1,27.2,34.5,6.64,Rice,3354.7
2023,Madhya Pradesh,Madhya_D50,839.9,25.44,87.9,82.2,32.7,1.7,6.08,Pulses,3009.4
2023,Telangana,Telangana_D18,704.2,32.35,84.3,79.5,27.0,29.0,6.66,Pulses,2493.3
2023,Assam,Assam_D12,859.7,28.81,81.9,36.1,0.0,35.2,5.76,Pulses,2673.1
2023,Jharkhand,Jharkhand_D59,718.5,26.44,89.3,28.1,22.0,82.0,6.54,Wheat,4566.0
2024,Gujarat,Gujarat_D75,1109.6,28.75,97.0,39.9,9.9,23.8,7.16,Groundnut,3542.9
2022,Punjab,Punjab_D21,1227.4,34.56,37.9,54.2,7.9,65.5,6.81,Jute,2675.4
2020,Punjab,Punjab_D60,748.1,24.26,43.5,96.0,46.5,36.8,5.12,Pulses,
2023,Andhra Pradesh,Andhra_D26,575.2,30.54,65.8,37.8,7.5,9.8,7.42,Rice,
2021,Karnataka,Karnataka_D98,,28.66,84.7,62.1,28.9,78.5,6.46,Jute,3680.3
2023,Madhya Pradesh,Madhya_D72,973.9,26.14,74.3,115.9,24.1,43.0,5.89,Pulses,2867.6
2021,Haryana,Haryana_D117,,24.08,74.4,18.4,13.0,16.4,,Rice,3215.4
2021,West Bengal,West_D94,1450.2,30.44,63.3,,34.0,59.8,6.41,Millets,3154.4
2023,Bihar,Bihar_D42,674.0,28.16,57.3,71.3,65.2,85.5,5.74,Cotton,2292.2
2024,West Bengal,West_D95,150.0,32.78,68.5,83.7,,3.3,6.28,Maize,3544.3
2021,Madhya Pradesh,Madhya_D91,616.8,31.67,66.2,79.9,64.0,,7.55,Maize,3941.1
2021,Jharkhand,Jharkhand_D54,1547.4,28.2,63.3,135.1,20.4,0.0,5.01,Pulses,2662.5
2023,West Bengal,West_D69,772.9,24.11,79.4,40.4,81.9,0.0,6.61,Groundnut,3468.6
2021,Kerala,Kerala_D19,693.8,35.22,69.9,23.0,23.6,0.0,7.07,Jute,2338.7
2021,Karnataka,Karnataka_D44,910.6,,76.6,0.0,28.6,33.5,6.2,Oilseeds,2948.2
2023,Madhya Pradesh,Madhya_D137,1304.4,30.32,68.3,67.6,0.0,51.5,6.45,Oilseeds,2747.4
2023,Andhra Pradesh,Andhra_D63,866.8,19.91,80.3,95.7,58.5,25.1,6.47,Groundnut,3590.7
2020,Punjab,Punjab_D42,,33.28,53.4,98.0,21.5,7.9,6.75,Sugarcane,73532.9
2024,Karnataka,Karnataka_D119,824.3,18.86,48.8,,16.2,49.8,6.51,Wheat,4504.9
2024,Odisha,Odisha_D98,1139.7,25.75,64.9,62.9,49.5,45.3,6.93,Oilseeds,3324.4
2021,Odisha,Odisha_D70,972.1,22.75,81.5,87.8,76.7,40.0,6.79,Jute,
2024,Punjab,Punjab_D143,740.8,32.58,64.6,,48.4,66.2,6.88,Rice,3512.1
2021,Gujarat,Gujarat_D57,1003.2,,99.0,35.3,3.4,41.7,6.41,Millets,
2020,Bihar,Bihar_D84,683.0,29.12,54.7,106.6,20.4,78.9,5.6,Sugarcane,75481.4
2023,Telangana,Telangana_D15,348.7,28.07,67.1,,0.0,0.0,5.28,Wheat,3688.2
2023,Kerala,Kerala_D59,892.0,21.22,42.5,9.0,45.2,0.1,6.63,Groundnut,3099.7
2023,Haryana,Haryana_D9,384.3,31.12,92.2,57.9,25.6,68.5,6.09,Oilseeds,2700.5
2024,Karnataka,Karnataka_D81,1139.0,26.94,68.2,30.5,26.3,0.0,6.03,Sugarcane,71789.0
2020,Punjab,Punjab_D103,885.0,33.03,34.7,72.4,,65.8,,Sugarcane,76807.7
2024,Gujarat,Gujarat_D69,1469.3,29.45,65.3,49.4,46.6,72.8,5.83,Wheat,4684.1
2024,Punjab,Punjab_D17,767.9,23.96,31.4,87.8,12.3,28.4,6.08,Wheat,4636.1
2020,Chhattisgarh,Chhattisgarh_D55,892.0,26.2,88.3,28.2,25.9,53.2,7.01,Oilseeds,
2020,Jharkhand,Jharkhand_D146,312.1,,56.3,97.7,0.0,37.7,6.1,Jute,2927.4
2020,Kerala,Kerala_D81,458.4,30.11,70.6,184.7,36.0,48.5,5.92,Groundnut,3311.2
2020,Bihar,Bihar_D55,228.5,29.98,58.9,93.3,30.5,0.0,6.23,Rice,3027.5
2023,Telangana,Telangana_D128,1331.0,24.31,67.0,136.9,3.0,,7.13,Oilseeds,3015.7
2022,Tamil Nadu,Tamil_D102,716.2,30.79,82.1,70.7,0.0,22.8,5.63,Wheat,4126.1
2022,Chhattisgarh,Chhattisgarh_D118,1430.8,28.63,63.9,33.0,34.0,5.0,7.48,Jute,3250.0
2020,Assam,Assam_D37,150.0,29.68,78.4,62.9,19.4,0.0,6.19,Jute,2771.7
2022,Bihar,Bihar_D68,,29.07,27.8,104.2,38.9,33.1,6.83,Groundnut,3491.4
2022,Andhra Pradesh,Andhra_D36,872.8,30.32,,78.1,5.7,27.6,6.72,Wheat,
2020,Karnataka,Karnataka_D64,1035.9,23.27,70.8,63.8,44.2,30.6,6.73,Wheat,4766.0
2022,Tamil Nadu,Tamil_D144,474.8,27.76,59.2,112.6,31.6,26.6,7.04,Rice,3142.8
2024,Madhya Pradesh,Madhya_D138,1110.9,31.03,87.6,75.3,17.7,5.5,5.74,Millets,3104.6
2021,Madhya Pradesh,Madhya_D68,,31.46,82.6,6.9,29.8,86.3,6.42,Maize,4516.6
2021,Kerala,Kerala_D150,422.4,31.46,90.5,106.3,18.9,30.7,6.55,Wheat,3988.8
2020,Kerala,Kerala_D110,416.9,23.46,71.5,89.5,,68.3,6.08,Jute,3586.4
2023,Tamil Nadu,Tamil_D150,409.9,,58.8,130.0,5.5,12.7,6.39,Cotton,1559.1
2020,Uttar Pradesh,Uttar_D103,1052.1,34.06,79.2,96.8,71.3,,,Groundnut,2879.5
2023,Karnataka,Karnataka_D93,645.7,23.54,54.2,52.2,70.1,62.4,5.86,Wheat,4567.6
2021,Karnataka,Karnataka_D57,244.0,25.8,65.6,93.7,16.0,,6.91,Pulses,2219.0
2020,Odisha,Odisha_D36,1047.7,29.74,76.1,73.8,26.3,76.2,6.25,Millets,3269.9
2024,Assam,Assam_D131,150.0,24.11,59.4,88.0,65.9,54.1,6.12,Groundnut,2997.8
2022,Kerala,Kerala_D127,,29.33,99.0,126.9,32.3,48.9,6.11,Groundnut,3797.6
2023,West Bengal,West_D24,1694.6,27.85,80.8,61.6,58.6,31.3,5.75,Cotton,2654.2
2022,Assam,Assam_D13,375.0,32.15,56.2,66.8,73.8,49.0,6.57,Pulses,2250.2
2022,West Bengal,West_D29,1321.0,28.72,84.4,0.0,34.4,18.4,4.8,Millets,2976.7
2020,Tamil Nadu,Tamil_D40,1039.6,18.88,94.5,154.8,38.7,57.2,5.91,Cotton,2681.0
2022,Punjab,Punjab_D41,700.0,30.45,47.4,79.4,56.3,4.6,6.31,Rice,
2024,Haryana,Haryana_D109,718.7,31.92,89.2,52.1,25.7,50.4,5.59,Maize,4097.4
2022,Haryana,Haryana_D17,1161.8,26.75,51.1,122.3,60.9,20.8,6.38,Millets,3450.5
2020,Kerala,Kerala_D99,884.0,27.59,69.9,137.5,32.9,74.7,6.51,Wheat,4768.2
2024,Kerala,Kerala_D98,150.0,,72.6,10.9,78.7,2.6,6.4,Pulses,2165.2
2021,Uttar Pradesh,Uttar_D120,1729.2,24.66,60.1,53.6,30.8,0.0,6.3,Oilseeds,3043.7
2022,Uttar Pradesh,Uttar_D136,1073.3,36.88,60.1,92.0,47.1,47.8,6.34,Sugarcane,79781.8
2020,Odisha,Odisha_D65,879.2,23.87,57.2,,26.9,3.2,6.64,Pulses,
2021,Andhra Pradesh,Andhra_D142,612.6,30.71,61.9,53.6,4.6,43.4,7.79,Jute,2575.9
2021,Haryana,Haryana_D3,824.4,30.69,55.1,,53.8,65.3,6.23,Jute,3085.4
2023,Kerala,Kerala_D30,1407.7,25.17,86.7,81.4,,40.6,5.38,Cotton,2499.9
2024,Uttar Pradesh,Uttar_D138,1004.6,23.25,47.9,35.3,0.0,9.7,6.32,Jute,3485.7
2022,Uttar Pradesh,Uttar_D69,1050.1,26.57,97.0,190.3,5.5,17.7,6.79,Groundnut,3621.0
2020,Jharkhand,Jharkhand_D88,400.3,29.79,,157.0,38.1,62.1,6.55,Groundnut,3229.4
2023,Bihar,Bihar_D29,760.1,28.23,38.6,30.3,25.6,47.4,7.22,Sugarcane,76852.2
2024,Odisha,Odisha_D76,920.4,34.26,81.6,0.0,47.3,27.4,5.76,Maize,3924.0
2023,Bihar,Bihar_D112,1178.6,24.65,64.2,13.4,0.0,62.6,6.29,Oilseeds,2951.4
2024,Haryana,Haryana_D41,733.7,24.75,52.1,58.0,70.6,0.8,5.64,Millets,3370.0
2024,Karnataka,Karnataka_D117,1271.1,30.53,,87.5,19.2,67.0,7.04,Oilseeds,
2022,Bihar,Bihar_D1,442.3,20.33,58.4,19.7,31.0,62.1,6.41,Cotton,1990.2
2024,Uttar Pradesh,Uttar_D68,927.8,24.75,89.3,66.6,36.1,10.4,4.92,Maize,4223.0
2023,Assam,Assam_D129,861.0,26.48,58.3,69.1,63.9,44.7,5.7,Wheat,4812.8
2024,Gujarat,Gujarat_D46,293.8,26.94,50.1,24.9,0.4,26.1,6.25,Oilseeds,2433.1
2022,Haryana,Haryana_D130,,24.97,59.4,142.1,33.1,73.8,4.95,Sugarcane,80961.4
2022,Assam,Assam_D28,667.0,19.7,55.1,94.0,4.8,95.1,5.45,Oilseeds,2854.9
2023,Telangana,Telangana_D77,1465.5,32.66,86.2,100.3,50.7,0.0,5.2,Pulses,2654.0
2021,West Bengal,West_D130,735.9,32.45,73.0,189.0,22.9,45.6,6.34,Groundnut,3018.5
2021,Assam,Assam_D51,1040.3,20.34,,30.6,39.3,,6.54,Pulses,2572.9
2024,Telangana,Telangana_D40,407.6,29.7,54.2,121.4,22.2,13.5,5.63,Rice,3346.8
2020,Jharkhand,Jharkhand_D96,994.6,26.46,63.3,155.1,72.6,11.1,6.08,Jute,
2024,Uttar Pradesh,Uttar_D42,734.0,29.24,42.4,148.2,15.2,31.4,7.06,Cotton,2323.1
2023,Assam,Assam_D139,589.5,28.12,53.4,109.1,41.8,18.0,5.78,Oilseeds,2877.6
2023,Gujarat,Gujarat_D136,2033.6,21.17,74.9,0.8,0.0,70.7,5.26,Millets,3327.4
2023,Jharkhand,Jharkhand_D1,758.6,30.21,97.2,95.1,42.0,62.8,5.73,Groundnut,3218.9
2023,Chhattisgarh,Chhattisgarh_D83,815.2,24.79,42.4,54.2,0.0,30.8,6.58,Rice,2988.7
2023,Uttar Pradesh,Uttar_D126,1260.8,16.61,99.0,90.0,66.6,43.9,6.75,Millets,3409.0
2022,Karnataka,Karnataka_D5,592.6,27.8,75.6,126.3,16.5,28.0,7.1,Pulses,2634.4
2021,Assam,Assam_D29,1061.3,20.75,53.0,95.4,10.1,28.8,4.94,Oilseeds,2729.7
2023,Madhya Pradesh,Madhya_D93,1104.1,31.58,92.9,29.0,35.9,20.7,6.76,Oilseeds,2809.9
2020,Tamil Nadu,Tamil_D79,997.9,25.84,76.3,17.5,3.2,0.0,5.55,Sugarcane,74166.3
2020,Uttar Pradesh,Uttar_D62,1818.5,27.32,82.7,44.6,13.3,55.4,7.01,Jute,3602.2
2020,Andhra Pradesh,Andhra_D15,578.3,29.08,82.4,75.5,34.9,0.0,6.47,Sugarcane,82805.3
2020,Assam,Assam_D62,1515.0,27.42,86.1,141.6,18.6,40.7,6.07,Groundnut,3818.1
2022,Chhattisgarh,Chhattisgarh_D146,1088.9,24.64,51.2,91.9,48.9,23.2,5.78,Groundnut,3556.9
2020,Chhattisgarh,Chhattisgarh_D21,1263.8,,82.1,74.4,55.1,84.2,4.79,Maize,4205.3
2023,Kerala,Kerala_D22,1036.5,26.57,70.8,70.8,42.5,58.3,5.88,Pulses,3006.0
2024,Andhra Pradesh,Andhra_D125,1651.3,22.5,78.7,71.4,3.9,22.0,6.02,Groundnut,3751.4
2020,Chhattisgarh,Chhattisgarh_D18,772.0,,59.9,118.0,14.4,,6.93,Maize,4274.5
2022,Karnataka,Karnataka_D137,1098.9,26.68,60.3,32.6,8.7,0.0,6.43,Pulses,2779.9
2022,Punjab,Punjab_D33,1422.2,26.91,61.3,131.3,24.6,23.8,6.18,Oilseeds,3253.7
2020,West Bengal,West_D33,676.5,27.5,81.0,113.5,38.8,18.3,8.65,Maize,2905.5
2024,Assam,Assam_D122,1300.2,27.22,68.7,68.0,38.0,,5.73,Rice,3889.4
2020,Telangana,Telangana_D141,892.5,32.83,61.9,203.0,67.2,,6.74,Pulses,2380.2
2022,Andhra Pradesh,Andhra_D43,406.0,23.8,64.9,126.2,67.2,30.6,7.84,Cotton,2058.5
2021,Uttar Pradesh,Uttar_D68,319.4,18.68,88.8,71.6,40.8,64.6,6.53,Wheat,4113.8
2023,Chhattisgarh,Chhattisgarh_D136,863.7,27.0,77.4,114.5,43.4,25.8,6.26,Pulses,2893.1
2022,West Bengal,West_D109,1296.4,30.33,76.9,,5.1,44.6,6.45,Maize,4738.1
2020,Assam,Assam_D55,150.0,20.74,74.0,46.4,49.9,65.8,6.42,Cotton,2100.8
2023,Telangana,Telangana_D139,980.2,28.46,86.1,58.0,40.6,33.0,5.74,Millets,3633.1
2020,Bihar,Bihar_D52,1257.0,21.37,54.1,79.7,39.2,,7.34,Pulses,2824.4
2020,Chhattisgarh,Chhattisgarh_D80,388.8,30.38,83.3,4.0,34.1,62.2,6.93,Wheat,
2021,Andhra Pradesh,Andhra_D103,646.4,27.04,71.1,16.8,61.7,,6.13,Oilseeds,2754.1
2023,Gujarat,Gujarat_D96,1128.9,23.48,56.0,97.9,68.3,34.7,6.11,Millets,3524.3
2023,Jharkhand,Jharkhand_D113,1239.4,20.59,69.7,62.5,32.9,44.4,6.42,Jute,3682.6
2021,Kerala,Kerala_D133,1541.6,35.72,65.9,169.0,42.0,34.7,6.69,Sugarcane,85669.4
2022,Tamil Nadu,Tamil_D116,665.5,36.22,75.1,110.2,18.3,0.0,6.97,Pulses,1949.5
2020,West Bengal,West_D31,573.8,22.68,83.5,99.8,,16.8,6.02,Oilseeds,3230.1
2024,Jharkhand,Jharkhand_D64,1561.1,,,101.5,43.8,49.3,5.61,Jute,3872.4
2020,West Bengal,West_D58,598.0,27.32,95.8,71.9,,0.0,6.35,Millets,2917.0
2020,Chhattisgarh,Chhattisgarh_D17,1102.9,25.46,44.8,112.7,10.7,36.5,6.73,Maize,4162.4
2022,West Bengal,West_D87,1773.2,25.7,58.9,77.6,42.8,79.7,6.63,Jute,3687.6
2020,Chhattisgarh,Chhattisgarh_D6,1201.1,28.13,99.0,95.1,35.1,43.8,5.94,Millets,3743.9
2021,Jharkhand,Jharkhand_D142,1213.3,34.67,47.7,69.7,34.2,,6.02,Wheat,3716.9
2021,Uttar Pradesh,Uttar_D59,1411.2,32.45,61.1,133.4,32.5,45.8,5.93,Pulses,2540.9
2023,Chhattisgarh,Chhattisgarh_D57,1109.9,25.72,58.3,44.5,,,6.49,Jute,3673.4
2024,Bihar,Bihar_D2,1215.2,29.89,33.7,0.0,49.2,37.5,4.75,Jute,2792.1
2020,Punjab,Punjab_D19,763.0,19.61,68.3,58.0,21.0,92.0,6.91,Sugarcane,72399.3
2020,Chhattisgarh,Chhattisgarh_D16,1364.0,27.54,76.7,148.7,56.4,56.2,5.93,Groundnut,3887.6
2022,Kerala,Kerala_D59,1065.4,26.05,76.6,117.6,30.1,36.7,4.88,Jute,3405.5
2021,Tamil Nadu,Tamil_D18,308.8,30.85,61.1,133.2,0.0,43.4,6.46,Jute,2925.7
2024,Chhattisgarh,Chhattisgarh_D9,997.2,,40.3,86.1,39.7,77.9,6.21,Millets,3158.3
2023,Chhattisgarh,Chhattisgarh_D85,,28.24,59.5,86.2,1.5,8.6,5.09,Wheat,3684.9
2021,Assam,Assam_D19,,28.84,56.4,52.4,42.9,36.0,6.01,Millets,3388.0
2023,Uttar Pradesh,Uttar_D132,806.6,25.27,,54.5,16.8,60.9,,Rice,3469.8
2022,Gujarat,Gujarat_D61,1662.2,30.87,61.3,81.4,0.0,0.0,5.81,Groundnut,3139.0
2022,Tamil Nadu,Tamil_D72,1095.9,28.84,75.8,81.0,35.1,59.7,6.39,Maize,4895.4
2020,West Bengal,West_D125,1269.7,26.35,40.8,75.5,,33.1,7.6,Jute,3278.3
2024,Telangana,Telangana_D55,480.3,27.39,79.1,93.5,19.6,37.9,6.83,Oilseeds,2996.3
2023,Punjab,Punjab_D139,1173.8,,77.3,60.7,38.3,35.3,7.25,Cotton,2303.9
2021,West Bengal,West_D34,643.7,30.75,,98.1,35.1,89.4,6.61,Oilseeds,
2022,Chhattisgarh,Chhattisgarh_D147,1336.2,25.63,58.7,139.0,0.0,33.2,5.61,Millets,3712.9
2020,Punjab,Punjab_D148,452.7,23.43,64.6,171.0,34.5,71.9,6.35,Jute,3637.7
2020,Andhra Pradesh,Andhra_D122,943.9,25.18,85.7,48.5,41.7,23.3,6.56,Maize,4223.9
2023,Gujarat,Gujarat_D63,436.8,25.38,65.1,134.9,21.2,0.0,5.91,Jute,3338.4
2022,Kerala,Kerala_D122,950.3,27.49,74.5,115.7,23.0,68.4,5.94,Cotton,2558.0
2024,Odisha,Odisha_D105,1709.0,31.79,69.5,134.7,23.3,43.0,6.71,Rice,4149.4
2022,Tamil Nadu,Tamil_D49,1188.5,25.12,83.2,170.5,42.3,17.5,,Maize,4938.5
2023,Bihar,Bihar_D25,886.9,28.55,72.0,148.5,2.6,0.0,6.03,Maize,4604.7
2023,Madhya Pradesh,Madhya_D25,150.0,26.26,50.9,,0.0,102.6,6.55,Cotton,1796.1
2022,Chhattisgarh,Chhattisgarh_D111,685.7,27.08,65.6,83.7,43.9,34.7,5.27,Wheat,4496.0
2023,Karnataka,Karnataka_D91,1089.9,,84.6,44.3,12.3,53.2,5.66,Rice,3593.1
2022,Gujarat,Gujarat_D109,695.7,31.81,74.5,91.5,49.0,18.7,6.41,Wheat,4178.7
2021,Jharkhand,Jharkhand_D106,1470.9,27.99,51.2,173.2,33.7,43.9,7.46,Jute,3452.5
2022,Assam,Assam_D120,928.6,16.67,96.3,112.2,16.9,84.0,5.71,Wheat,4559.5
2022,Uttar Pradesh,Uttar_D14,,26.2,60.5,85.3,7.1,33.4,6.07,Rice,3705.7
2023,Jharkhand,Jharkhand_D26,982.0,33.28,83.6,46.6,0.0,35.5,6.1,Groundnut,2967.6
2023,Chhattisgarh,Chhattisgarh_D16,789.6,31.57,90.9,66.1,17.2,90.0,8.01,Millets,2732.1
2020,Karnataka,Karnataka_D104,711.5,30.16,85.6,131.0,31.0,0.0,6.62,Maize,4386.1
2020,Uttar Pradesh,Uttar_D87,495.1,31.72,56.5,43.9,35.2,14.4,6.27,Maize,3827.5
2021,Andhra Pradesh,Andhra_D28,1338.6,30.3,,149.1,0.0,36.5,6.36,Cotton,2425.7
2020,Chhattisgarh,Chhattisgarh_D64,728.8,31.64,73.4,117.3,16.5,28.1,5.93,Pulses,
2022,Madhya Pradesh,Madhya_D50,1108.9,22.53,50.0,28.2,57.0,52.0,5.97,Pulses,2787.4
2023,Kerala,Kerala_D49,689.7,26.76,68.6,146.4,74.8,,6.67,Sugarcane,77281.3
2020,Haryana,Haryana_D138,466.8,27.59,54.9,20.6,,23.7,7.24,Pulses,2326.9
2020,Karnataka,Karnataka_D115,1122.1,27.22,75.8,7.6,30.3,66.2,6.35,Groundnut,3284.3
2021,Odisha,Odisha_D36,601.3,,81.8,109.2,0.0,20.4,8.16,Millets,2746.5
2021,Jharkhand,Jharkhand_D109,739.8,27.59,86.8,123.4,30.5,59.0,6.2,Cotton,2712.0
2022,Assam,Assam_D47,400.5,20.2,68.8,66.5,18.7,25.0,6.3,Jute,3213.5
2023,Tamil Nadu,Tamil_D72,,28.81,56.2,45.9,62.3,42.9,6.13,Pulses,2720.6
2021,Tamil Nadu,Tamil_D119,909.6,24.3,51.9,71.3,22.3,84.4,5.7,Cotton,2447.5
2020,Bihar,Bihar_D64,785.0,18.3,80.1,94.3,,27.4,6.26,Millets,3433.9
2023,Kerala,Kerala_D20,1227.3,27.07,84.6,85.4,24.0,70.1,6.83,Sugarcane,81780.6
2023,Jharkhand,Jharkhand_D114,958.2,33.19,78.2,48.3,54.6,12.0,5.67,Sugarcane,76299.1
2020,Gujarat,Gujarat_D141,2134.9,19.4,57.1,,28.4,24.2,7.39,Wheat,4444.6
2021,Haryana,Haryana_D26,1069.7,26.03,60.4,63.5,38.9,33.6,7.13,Maize,4357.2
2020,Assam,Assam_D13,205.8,20.51,61.4,35.3,29.1,34.8,7.1,Cotton,1964.0
2023,Andhra Pradesh,Andhra_D139,814.8,,,100.0,43.4,66.4,6.84,Sugarcane,
2024,Gujarat,Gujarat_D4,849.5,30.48,77.5,131.8,10.7,57.9,5.99,Jute,3455.4
2024,Haryana,Haryana_D24,654.5,23.76,67.8,53.9,50.7,85.5,6.34,Groundnut,3642.8
2022,Andhra Pradesh,Andhra_D61,929.0,25.31,91.4,121.8,0.0,53.1,7.18,Sugarcane,78591.6
2020,Andhra Pradesh,Andhra_D43,642.6,26.41,55.4,151.8,40.9,99.5,6.38,Maize,4371.0
2020,Jharkhand,Jharkhand_D105,1033.1,,67.8,48.2,8.0,72.6,5.49,Millets,2804.7
2022,Telangana,Telangana_D125,150.0,21.41,51.3,95.9,44.3,44.3,,Wheat,3807.9
2022,Punjab,Punjab_D124,1357.7,25.18,,80.9,56.6,79.7,6.29,Millets,3527.6
2022,Assam,Assam_D55,268.7,33.28,81.8,29.2,1.8,48.5,5.28,Maize,3656.2
2023,Assam,Assam_D103,794.6,24.09,70.8,80.0,8.3,53.3,6.7,Pulses,2864.1
2020,Chhattisgarh,Chhattisgarh_D16,606.9,25.42,55.5,60.0,10.7,38.5,6.37,Oilseeds,3031.6
2023,Bihar,Bihar_D43,1022.4,27.72,47.5,55.5,59.6,,6.16,Sugarcane,82516.6
2022,Madhya Pradesh,Madhya_D98,826.7,36.31,65.0,68.9,0.9,22.1,5.17,Groundnut,2103.6
2020,Gujarat,Gujarat_D1,1000.7,22.53,73.1,56.7,15.2,23.2,7.12,Millets,3315.3
